patent_number,type,tier,category,title,assignee,provenance,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
KR20250007681A,application,Tier 1 — Core Spectacles,Wearable connectivity & location, Wearable device antenna system,스냅 인코포레이티드,snap_filed,2017-03-06,2018-03-06,2025-01-14,,https://patentimages.storage.googleapis.com/74/22/f0/d39286768ddf8f/KR20250007681A.pdf,https://patents.google.com/patent/KR20250007681A/en,"The antenna system includes a driven antenna element connected to a printed circuit board (PCB), and a plurality of PCB extensions provided by electrical conductors connected to a PCB ground plane for cooperating with the driven antenna element in signal communication. In an eyewear device &hellip;"
US12271517B1,grant,Tier 1 — Core Spectacles,XR tracking & spatial, Bending-assisted calibration for extended reality tracking,Snap Inc.,snap_filed,2023-09-29,2023-09-29,2025-04-08,2025-04-08,https://patentimages.storage.googleapis.com/58/06/45/9a7ecafc59b3f7/US12271517B1.pdf,https://patents.google.com/patent/US12271517B1/en,"Bending data is used to facilitate tracking operations of an extended reality (XR) device, such as hand tracking or other object tracking operations. The XR device obtains bending data indicative of bending of the XR device to accommodate a body part of a user wearing the XR device. The XR device &hellip;"
US20220366600A1,application,Tier 1 — Core Spectacles,XR tracking & spatial, Depth-from-stereo bending correction using visual inertial odometry features,Snap Inc.,snap_filed,2021-05-14,2021-09-21,2022-11-17,,https://patentimages.storage.googleapis.com/b5/f3/6d/1c4b9e33a76d74/US20220366600A1.pdf,https://patents.google.com/patent/US20220366600A1/en,"CLAIM OF PRIORITY The present application claims priority to U.S. Provisional Patent Application Ser. No. 63/188,815, filed May 14, 2021, which is hereby incorporated by reference in its entirety. TECHNICAL FIELD The subject matter disclosed herein generally relates to a visual tracking system."
US20240029302A1,application,Tier 1 — Core Spectacles,XR tracking & spatial, Depth-from-stereo bending correction using visual inertial odometry features,Snap Inc.,snap_filed,2021-05-14,2023-09-27,2024-01-25,,https://patentimages.storage.googleapis.com/35/a7/7e/03eb215e4de1de/US20240029302A1.pdf,https://patents.google.com/patent/US20240029302A1/en,"A method for correcting a bending of a flexible device is described. In one aspect, the method includes accessing feature data of a first stereo frame that is generated by stereo optical sensors of the flexible device, the feature data generated based on a visual-inertial odometry (VIO) system of &hellip;"
US20250110547A1,application,Tier 1 — Core Spectacles,XR tracking & spatial, Bending-assisted calibration for extended reality tracking,Thomas Faeulhammer,snap_filed,2023-09-29,2023-09-29,2025-04-03,,https://patentimages.storage.googleapis.com/a4/1a/07/f0cb7d211debea/US20250110547A1.pdf,https://patents.google.com/patent/US20250110547A1/en,"Bending data is used to facilitate tracking operations of an extended reality (XR) device, such as hand tracking or other object tracking operations. The XR device obtains bending data indicative of bending of the XR device to accommodate a body part of a user wearing the XR device. The XR device &hellip;"
US20260011027A1,application,Tier 1 — Core Spectacles,XR tracking & spatial, Spatial scanning for extended reality,Snap Inc.,snap_filed,2023-03-15,2025-09-10,2026-01-08,,,https://patents.google.com/patent/US20260011027A1/en,"An extended Reality (XR) system that provides services for determining 3D data of physical objects in a real-world scene. The XR system receives a request from an application to initiate a spatial scan of a real-world scene. In response, the XR system captures video frame data of the real-world &hellip;"
WO2022240933A1,application,Tier 1 — Core Spectacles,XR tracking & spatial, Depth-from- stereo bending correction,Snap Inc.,snap_filed,2021-05-14,2022-05-11,2022-11-17,,https://patentimages.storage.googleapis.com/cc/de/46/b05c7fde0f999c/WO2022240933A1.pdf,https://patents.google.com/patent/WO2022240933A1/en,"A method for correcting a bending of a flexible device is described. In one aspect, the method includes accessing feature data of a first stereo frame that is generated by stereo optical sensors of the flexible device, the feature data generated based on a visual-inertial odometry (VIO) system of &hellip;"
WO2026055014A1,application,Tier 1 — Core Spectacles,XR tracking & spatial, Spacial organizer for multimedia results in extended reality,Snap Inc.,snap_filed,2024-09-09,2025-08-26,2026-03-12,,,https://patents.google.com/patent/WO2026055014A1/en,"&hellip;  objects; receive a plurality of content items to display within the user interface; Docket No. 4218.N08WO1 <b>assign</b> each of the content items to a separate container; render, within the user interface, an organizer containing all separate containers corresponding to the plurality of content items;"
US10045737B2,grant,Tier 2 — Adjacent / enabling,"Health-sensing smart eyewear (Facense, acquired)", Clip-on device with inward-facing cameras,Facense Ltd.,other_assignee,2015-06-14,2017-12-06,2018-08-14,2018-08-14,https://patentimages.storage.googleapis.com/2a/60/83/650420755f551d/US10045737.pdf,https://patents.google.com/patent/US10045737B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10076250B2,grant,Tier 2 — Adjacent / enabling,"Health-sensing smart eyewear (Facense, acquired)", Detecting physiological responses based on multispectral data from head-mounted &hellip;,Facense Ltd.,other_assignee,2015-06-14,2017-12-06,2018-09-18,2018-09-18,https://patentimages.storage.googleapis.com/c8/e0/c5/1d375477d79ce0/US10076250.pdf,https://patents.google.com/patent/US10076250B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10076270B2,grant,Tier 2 — Adjacent / enabling,"Health-sensing smart eyewear (Facense, acquired)", Detecting physiological responses while accounting for touching the face,Facense Ltd.,other_assignee,2015-06-14,2017-12-06,2018-09-18,2018-09-18,https://patentimages.storage.googleapis.com/f8/d4/ae/303588faef8ee4/US10076270.pdf,https://patents.google.com/patent/US10076270B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10130261B2,grant,Tier 2 — Adjacent / enabling,"Health-sensing smart eyewear (Facense, acquired)", Detecting physiological responses while taking into account consumption of &hellip;,Facense Ltd.,other_assignee,2015-06-14,2017-12-06,2018-11-20,2018-11-20,https://patentimages.storage.googleapis.com/90/d6/53/a18e03e5e54dd5/US10130261.pdf,https://patents.google.com/patent/US10130261B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10154810B2,grant,Tier 2 — Adjacent / enabling,"Health-sensing smart eyewear (Facense, acquired)", Security system that detects atypical behavior,Facense Ltd.,other_assignee,2015-06-14,2018-01-02,2018-12-18,2018-12-18,https://patentimages.storage.googleapis.com/78/10/b1/b977d9957a59bd/US10154810.pdf,https://patents.google.com/patent/US10154810B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10159411B2,grant,Tier 2 — Adjacent / enabling,"Health-sensing smart eyewear (Facense, acquired)", Detecting irregular physiological responses during exposure to sensitive data,Facense Ltd.,other_assignee,2015-06-14,2018-01-02,2018-12-25,2018-12-25,https://patentimages.storage.googleapis.com/65/d5/d3/1df6c47581f9a9/US10159411.pdf,https://patents.google.com/patent/US10159411B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10216981B2,grant,Tier 2 — Adjacent / enabling,"Health-sensing smart eyewear (Facense, acquired)", Eyeglasses that measure facial skin color changes,Facense Ltd.,other_assignee,2015-06-14,2017-12-06,2019-02-26,2019-02-26,https://patentimages.storage.googleapis.com/48/b3/32/55e04e5b0eaf57/US10216981.pdf,https://patents.google.com/patent/US10216981B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
